Txhash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Value,Txn Fee
"0xedc22a7eed9bea296c8a5469858451bf128b2d60fd67a7d139ecddae6e074a2f","Success","Vote","5599325","2024-03-31 13:44:12","0x6f62febcf3872aff66ff03ec6065d6bba9fe65f8","","0x91F5E2C2eFA52Aa7a95EfAA0916B7ab6dfA67b88","","0 ETH","0.00006896"
"0xd5866301ebe199d1e136ed1d15b184b742ad19bdcc169d84f7612622975c0c44","Success","Vote","5599194","2024-03-31 13:18:00","0x6f62febcf3872aff66ff03ec6065d6bba9fe65f8","","0x91F5E2C2eFA52Aa7a95EfAA0916B7ab6dfA67b88","","0 ETH","0.00006896"
"0x508b1325e4f74f0a2b89317ca97a1f7a021fb8f924ac871876c51e6e269f8298","Success","Vote","5599130","2024-03-31 13:05:12","0x6f62febcf3872aff66ff03ec6065d6bba9fe65f8","","0x91F5E2C2eFA52Aa7a95EfAA0916B7ab6dfA67b88","","0 ETH","0.00008606"
"0x9088245251d1a2924822ab0a5d735cf37a71f6c8aec2fd1bbed4ad32e305a62c","Success","0x60806040","5599108","2024-03-31 13:00:48","0x6f62febcf3872aff66ff03ec6065d6bba9fe65f8","","Contract Creation","","0 ETH","0.00075136"
